index,Cosine Similarity
"('eall', 'eare')",-0.022507846
"('eall', 'eage')",0.14409626
"('eall', 'muþ')",0.022269588
"('eall', 'tunge')",-0.022115126
"('eall', 'clea')",0.022309415
"('eall', 'fot')",0.12362205
"('eall', 'cneow')",0.1614688
"('eall', 'mund')",-0.042510603
"('eall', 'cwiþ')",-0.03481399
"('eall', 'sweora')",-0.15548772
"('eall', 'bosm')",0.18205807
"('eall', 'heorte')",0.01620165
"('eall', 'drincan')",0.1187762
"('eall', 'etan')",-0.16126668
"('eall', 'bitan')",-0.13900322
"('eall', 'seon')",0.0014231307
"('eall', 'gehiran')",-0.015962452
"('eall', 'cunnan')",-0.017668221
"('eall', 'swefan')",-0.1212723
"('eall', 'dead')",0.0010689162
"('eall', 'cwellan')",-0.025124513
"('eall', 'fleogan')",0.01153965
"('eall', 'findan')",-0.06860353
"('eall', 'cuman')",0.007464515
"('eall', 'licgan')",0.03927753
"('eall', 'sittan')",0.14346197
"('eall', 'standan')",0.08996535
"('eall', 'gesellan')",-0.09191664
"('eall', 'sæcgan')",0.121325955
"('eall', 'sunne')",0.2171782
"('eall', 'mona')",0.13037977
"('eall', 'steorra')",0.07261118
"('eall', 'ea')",-0.13957861
"('eall', 'regn')",0.023841545
"('eall', 'stan')",-0.045950767
"('eall', 'sand')",0.18165219
"('eall', 'eorþe')",0.079076305
"('eall', 'neowol')",-0.081187725
"('eall', 'þrosm')",0.03514223
"('eall', 'fyr')",0.22973141
"('eall', 'axe')",-0.15484118
"('eall', 'bærnan')",-0.06245066
"('eall', 'foldweg')",-0.14076903
"('eall', 'beorg')",0.11227512
"('eall', 'read')",0.0474501
"('eall', 'grene')",0.08325043
"('eall', 'geolo')",-0.081123814
"('eall', 'hwit')",0.09088425
"('eall', 'blæc')",0.045220457
"('eall', 'niht')",-0.16673078
"('eall', 'wearm')",0.058605626
"('eall', 'ceald')",0.18852419
"('eall', 'full')",0.055574626
"('eall', 'niwe')",-0.011851473
"('eall', 'betra')",0.07927004
"('eall', 'dryge')",0.12062886
"('eall', 'nama')",0.040581547
"('manig', 'ic')",-0.045464016
"('manig', 'ðu')",-0.024553526
"('manig', 'us')",-0.122793466
"('manig', 'he')",-0.09428905
"('manig', 'ðæt')",0.010854948
"('manig', 'hwa')",-0.09213716
"('manig', 'ne')",-0.09857318
"('manig', 'eall')",0.01927466
"('manig', 'an')",-0.015087945
"('manig', 'twegen')",0.28907317
"('manig', 'micel')",-0.007847711
"('manig', 'lang')",0.21257335
"('manig', 'min')",-0.14583242
"('manig', 'cwen')",0.120285586
"('manig', 'mann')",-0.15684691
"('manig', 'fisc')",0.026197523
"('manig', 'fugol')",0.12849756
"('manig', 'hund')",0.17469835
"('manig', 'treow')",-0.010196805
"('manig', 'sæd')",0.10254566
"('manig', 'blæd')",0.02704791
