index,Cosine Similarity
"('istud', 'inquam')",0.21363394
"('istud', 'sol')",-0.1390124
"('istud', 'mensis')",0.1508557
"('istud', 'stella')",-0.02633948
"('istud', 'aqua')",-0.0306236
"('istud', 'pluvia')",-0.074069895
"('istud', 'lapis')",-0.071346804
"('istud', 'harena')",-0.097590245
"('istud', 'solum')",0.19120316
"('istud', 'nimbus')",-0.12824783
"('istud', 'fumus')",0.035101973
"('istud', 'ignis')",-0.03872323
"('istud', 'ardere')",-0.0048122276
"('istud', 'mons')",-0.19125819
"('istud', 'rubeus')",-0.05233077
"('istud', 'gramen')",-0.15117499
"('istud', 'flavo')",0.032982215
"('istud', 'albus')",-0.039173964
"('istud', 'ater')",-0.13142626
"('istud', 'nox')",-0.06353434
"('istud', 'calidus')",-0.00072381645
"('istud', 'gelu')",0.006492153
"('istud', 'plenus')",0.07943516
"('istud', 'novus')",-0.23452598
"('istud', 'bonus')",0.08354659
"('istud', 'circularis')",-0.108992055
"('istud', 'siccus')",-0.009118922
"('istud', 'nomen')",0.14981063
"('qui', 'ego')",-0.0993686
"('qui', 'tu')",-0.055684417
"('qui', 'nos')",-0.0059460774
"('qui', 'cis')",-0.15577614
"('qui', 'istud')",0.0669035
"('qui', 'quid')",0.19636706
"('qui', 'non')",0.30491814
"('qui', 'omnis')",-0.056195818
"('qui', 'multi')",0.28637564
"('qui', 'unus')",0.24297775
"('qui', 'duo')",0.08743614
"('qui', 'magnus')",0.12714787
"('qui', 'longus')",-0.15210047
"('qui', 'minutus')",-0.0063697193
"('qui', 'femina')",-0.00039640442
"('qui', 'vir')",0.10549683
"('qui', 'persona')",0.09961741
"('qui', 'piscis')",-0.17842257
"('qui', 'avis')",0.07591803
"('qui', 'canis')",-0.10230956
"('qui', 'pedis')",0.0028709453
"('qui', 'dryas')",-0.0701853
"('qui', 'semen')",-0.16613817
"('qui', 'folium')",-0.252572
"('qui', 'radix')",-0.10445619
"('qui', 'cortex')",-0.23558196
"('qui', 'cutis')",-0.1993081
"('qui', 'membrana')",-0.10660575
"('qui', 'sanguis')",-0.010417022
"('qui', 'os')",-0.10153623
"('qui', 'medulla')",-0.29759586
"('qui', 'ovum')",-0.08468787
"('qui', 'cornu')",-0.12921369
"('qui', 'cauda')",-0.09207934
"('qui', 'pluma')",-0.19104353
"('qui', 'pilus')",-0.09757418
"('qui', 'caput')",-0.068554685
"('qui', 'auris')",-0.21497609
"('qui', 'oculus')",0.073701516
"('qui', 'nasus')",-0.24908556
"('qui', 'gemma')",-0.12358083
"('qui', 'lingua')",-0.08652882
"('qui', 'unguis')",-0.14360598
"('qui', 'pes')",0.027734004
"('qui', 'genu')",-0.29029614
"('qui', 'manus')",0.06166573
"('qui', 'uterus')",-0.17122121
"('qui', 'monile')",-0.09552826
"('qui', 'pectora')",-0.22599262
"('qui', 'cor')",0.012137655
"('qui', 'iecur')",-0.07509803
